f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Filename
0.1136,0.0948,0.138,0.128,0.1659,0.0885,0.1128,0.2932,0.0522,0,0,0.1136,0.1062,0,processed.pcap.TCP_61-174-51-214_12733_111-93-5-203_22.pcap
0.025,0.0202,0.0313,0.0403,0.0554,0.0259,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-14-5_3205_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_60-11-255-77_47745_111-93-5-203_22.pcap
0.0307,0.0222,0.0417,0.0461,0.0597,0.0319,0.0479,0.1269,0.0216,0,0,0.0307,0.0301,0,processed.pcap.TCP_111-93-5-203_22_222-186-34-224_2953.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_112-21-198-28_49910.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_123-255-250-5_54627.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_95-0-212-205_59290_111-93-5-203_22.pcap
0.1102,0.0867,0.1406,0.1195,0.1554,0.0823,0.1023,0.2784,0.0439,0,0,0.1102,0.1062,0,processed.pcap.TCP_61-174-51-202_50919_111-93-5-203_22.pcap
0.0227,0.0181,0.0286,0.028,0.025,0.0265,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0714,processed.pcap.TCP_1-93-33-2_39030_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_111-203-16-53_3455.pcap
0.0227,0.0181,0.0286,0.028,0.025,0.0265,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0714,processed.pcap.TCP_1-93-33-2_48068_111-93-5-203_22.pcap
0.0284,0.0222,0.0365,0.0466,0.0568,0.0345,0.0504,0.1184,0.0266,0,0,0.0273,0.024,0.0357,processed.pcap.TCP_60-173-14-5_7063_111-93-5-203_22.pcap
0.0227,0.0181,0.0286,0.028,0.025,0.0265,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0714,processed.pcap.TCP_1-93-33-2_57140_111-93-5-203_22.pcap
0.1125,0.0827,0.151,0.1153,0.1202,0.0984,0.0755,0.1537,0.0462,0,0,0.1125,0.1142,0,processed.pcap.TCP_111-93-5-203_22_144-0-0-43_62426.pcap
0.1489,0.0806,0.237,0.158,0.1233,0.1612,0.1074,0.1662,0.0797,0,0,0.1477,0.1743,0,processed.pcap.TCP_111-93-5-203_22_219-138-135-70_54501.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_124-90-231-248_44785.pcap
0.0943,0.0605,0.138,0.1127,0.1406,0.0815,0.1035,0.2839,0.0439,0,0,0.0943,0.1042,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-172_53926.pcap
0.0227,0.0181,0.0286,0.028,0.025,0.0265,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0714,processed.pcap.TCP_1-93-33-2_55017_111-93-5-203_22.pcap
0.1091,0.0887,0.1354,0.119,0.1569,0.0806,0.1023,0.2788,0.0439,0,0,0.1068,0.1042,0.1071,processed.pcap.TCP_61-174-51-210_55183_111-93-5-203_22.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_3216_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_123-255-250-5_47094.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_122-228-122-150_47819.pcap
0.0216,0.0181,0.026,0.0274,0.025,0.0257,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0357,processed.pcap.TCP_1-93-33-2_58564_111-93-5-203_22.pcap
0.042,0.0302,0.0573,0.0595,0.0783,0.0403,0.0602,0.1642,0.0258,0,0,0.042,0.0461,0.0357,processed.pcap.TCP_111-93-5-203_22_116-10-191-170_3924.pcap
0.0341,0.0242,0.0469,0.0539,0.0724,0.0357,0.0573,0.1586,0.024,0,0,0.0341,0.0381,0.0357,processed.pcap.TCP_61-174-51-211_59889_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_221-208-245-226_51296.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_207-246-228-51_53926.pcap
0.0602,0.0423,0.0833,0.0775,0.1001,0.0538,0.0745,0.2034,0.0318,0,0,0.0591,0.0661,0.0714,processed.pcap.TCP_61-174-51-216_34473_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_187-174-116-250_46654.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_185-13-225-147_42826.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_3732_111-93-5-203_22.pcap
0.0284,0.0222,0.0365,0.0328,0.0305,0.0304,0.0241,0.0348,0.0185,0,0,0.0284,0.024,0,processed.pcap.TCP_88-103-247-60_40328_111-93-5-203_22.pcap
0.025,0.0202,0.0313,0.0403,0.0554,0.0259,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-26-179_10466_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_61-182-202-57_42961_111-93-5-203_22.pcap
0.0239,0.0202,0.0286,0.0345,0.0393,0.0272,0.0309,0.0647,0.0185,0,0,0.0239,0.02,0,processed.pcap.TCP_109-168-106-32_45648_111-93-5-203_22.pcap
0.0955,0.0625,0.138,0.1119,0.1386,0.0815,0.1014,0.2746,0.0439,0,0,0.0955,0.1042,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-188_52907.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_185-13-225-147_52099.pcap
0.0693,0.0444,0.1016,0.0888,0.1099,0.0647,0.0852,0.227,0.0379,0,0,0.0693,0.0802,0.0357,processed.pcap.TCP_111-93-5-203_22_116-10-191-172_37831.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_2077_111-93-5-203_22.pcap
0.0659,0.0464,0.0911,0.093,0.1245,0.0618,0.0938,0.2643,0.0379,0,0,0.0648,0.0721,0.0357,processed.pcap.TCP_111-93-5-203_22_116-10-191-171_27087.pcap
